City,Type,Area,Price,Purpose,Location,Built in year,Bedrooms,Bathrooms,price,Area_sqft,price_category,property_age_group,price_per_sqft,region
karachi,house,100 Sq. Yd.,"PKR
81 Lakh",For Sale,"Gadap Town, Karachi, Sindh",2018.0,2.0,2.0,8100000.0,900.0,Low,New,9000.0,Sindh
karachi,house,90 Sq. Yd.,"PKR
2.6 Crore",For Sale,"Liaquatabad, Karachi, Sindh",,11.0,7.0,26000000.0,810.0,Mid,,32098.765432098764,Sindh
karachi,flat,244 Sq. Yd.,"PKR
4.75 Crore",For Sale,"Cosmopolitan Society, Karachi, Sindh",,4.0,4.0,47500000.0,2196.0,Mid,,21630.236794171222,Sindh
karachi,house,500 Sq. Yd.,"PKR
9.75 Crore",For Sale,"Cantt, Karachi, Sindh",,5.0,6.0,97500000.0,4500.0,High,,21666.666666666668,Sindh
karachi,flat,286 Sq. Yd.,"PKR
10.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",,3.0,4.0,105000000.0,2574.0,High,,40792.54079254079,Sindh
karachi,flat,161 Sq. Yd.,"PKR
3.15 Crore",For Sale,"DHA Defence, Karachi, Sindh",,1.0,2.0,31500000.0,1449.0,Mid,,21739.130434782608,Sindh
karachi,flat,267 Sq. Yd.,"PKR
3.35 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2015.0,3.0,4.0,33500000.0,2403.0,Mid,Moderate,13940.907199334166,Sindh
karachi,house,120 Sq. Yd.,"PKR
3 Crore",For Sale,"Malir, Karachi, Sindh",2025.0,3.0,3.0,30000000.0,1080.0,Mid,New,27777.777777777777,Sindh
karachi,flat,189 Sq. Yd.,"PKR
2.9 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2017.0,3.0,4.0,29000000.0,1701.0,Mid,New,17048.794826572605,Sindh
karachi,flat,267 Sq. Yd.,"PKR
3.4 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2016.0,3.0,4.0,34000000.0,2403.0,Mid,New,14148.980441115273,Sindh
karachi,house,125 Sq. Yd.,"PKR
1.3 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",2025.0,4.0,4.0,13000000.0,1125.0,Mid,New,11555.555555555555,Sindh
karachi,flat,289 Sq. Yd.,"PKR
9 Crore",For Sale,"Civil Lines, Karachi, Sindh",2023.0,4.0,5.0,90000000.0,2601.0,High,New,34602.07612456747,Sindh
